------------------------------
Config: dim 12 window 5
Init Dataloader
Using device: cuda
Begin Training
epoch 2 | batch 30000/43315 batches | ms/batch 4.192098712921142 | loss 98233.1146
epoch 2 | batch 31000/43315 batches | ms/batch 4.1116731705204135 | loss 101231.1146
epoch 2 | batch 32000/43315 batches | ms/batch 4.036724679172039 | loss 104338.7752
epoch 2 | batch 33000/43315 batches | ms/batch 3.965033343344024 | loss 107352.6160
epoch 2 | batch 34000/43315 batches | ms/batch 3.8972968774683334 | loss 110306.4260
epoch 2 | batch 35000/43315 batches | ms/batch 3.8342767579214914 | loss 113294.4261
epoch 2 | batch 36000/43315 batches | ms/batch 3.774176769786411 | loss 116269.4261
epoch 2 | batch 37000/43315 batches | ms/batch 3.717103036674293 | loss 119240.4262
epoch 2 | batch 38000/43315 batches | ms/batch 3.663081639691403 | loss 122260.0864
epoch 2 | batch 39000/43315 batches | ms/batch 3.6116706163455277 | loss 125209.7156
epoch 2 | batch 40000/43315 batches | ms/batch 3.5627750992774962 | loss 128178.7156
epoch 2 | batch 41000/43315 batches | ms/batch 3.516304818595328 | loss 131120.7156
epoch 2 | batch 42000/43315 batches | ms/batch 3.4720242420832315 | loss 134103.7156
epoch 2 | batch 43000/43315 batches | ms/batch 3.429970624834992 | loss 137056.3605
Epoch [2/30], Loss: 138035.9759
------------------------------
epoch 3 | batch 1000/43315 batches | ms/batch 150.14969635009766 | loss 2995.0000
epoch 3 | batch 2000/43315 batches | ms/batch 75.9090850353241 | loss 5951.0000
epoch 3 | batch 3000/43315 batches | ms/batch 51.16228516896566 | loss 8857.0000
epoch 3 | batch 4000/43315 batches | ms/batch 38.78829938173294 | loss 11826.0000
epoch 3 | batch 5000/43315 batches | ms/batch 31.36374988555908 | loss 14901.0000
epoch 3 | batch 6000/43315 batches | ms/batch 26.414608319600422 | loss 17836.0000
epoch 3 | batch 7000/43315 batches | ms/batch 22.880100216184342 | loss 20771.0000
epoch 3 | batch 8000/43315 batches | ms/batch 20.22862395644188 | loss 23628.6357
epoch 3 | batch 9000/43315 batches | ms/batch 18.1662683751848 | loss 26555.6357
epoch 3 | batch 10000/43315 batches | ms/batch 16.516315603256224 | loss 29451.6357
epoch 3 | batch 11000/43315 batches | ms/batch 15.169607877731323 | loss 32375.2770
epoch 3 | batch 12000/43315 batches | ms/batch 14.045226951440176 | loss 35355.2770
epoch 3 | batch 13000/43315 batches | ms/batch 13.09339717718271 | loss 38296.2770
epoch 3 | batch 14000/43315 batches | ms/batch 12.277410575321742 | loss 41206.2770
epoch 3 | batch 15000/43315 batches | ms/batch 11.572271076838176 | loss 44116.2770
epoch 3 | batch 16000/43315 batches | ms/batch 10.95414625108242 | loss 46897.2770
epoch 3 | batch 17000/43315 batches | ms/batch 10.408273402382346 | loss 49824.9044
epoch 3 | batch 18000/43315 batches | ms/batch 9.924672656589085 | loss 52817.9044
epoch 3 | batch 19000/43315 batches | ms/batch 9.490884617755288 | loss 55736.4707
epoch 3 | batch 20000/43315 batches | ms/batch 9.100090658664703 | loss 58691.4707
epoch 3 | batch 21000/43315 batches | ms/batch 8.746325231733776 | loss 61676.2783
epoch 3 | batch 22000/43315 batches | ms/batch 8.424584464593368 | loss 64559.2783
epoch 3 | batch 23000/43315 batches | ms/batch 8.132074387177177 | loss 67477.2783
epoch 3 | batch 24000/43315 batches | ms/batch 7.863444219032924 | loss 70373.2783
epoch 3 | batch 25000/43315 batches | ms/batch 7.615913219451905 | loss 73252.2783
epoch 3 | batch 26000/43315 batches | ms/batch 7.3872357331789456 | loss 76241.2783
epoch 3 | batch 27000/43315 batches | ms/batch 7.175684602172287 | loss 79284.2783
epoch 3 | batch 28000/43315 batches | ms/batch 6.979096387113843 | loss 82333.2783
epoch 3 | batch 29000/43315 batches | ms/batch 6.795971648446445 | loss 85297.2783
epoch 3 | batch 30000/43315 batches | ms/batch 6.625097926457723 | loss 88338.2783
epoch 3 | batch 31000/43315 batches | ms/batch 6.465154147917224 | loss 91218.2783
epoch 3 | batch 32000/43315 batches | ms/batch 6.315169684588909 | loss 94047.2783
epoch 3 | batch 33000/43315 batches | ms/batch 6.17424260486256 | loss 96998.2783
epoch 3 | batch 34000/43315 batches | ms/batch 6.041635225800907 | loss 99993.0858
epoch 3 | batch 35000/43315 batches | ms/batch 5.916614948000227 | loss 102882.0858
epoch 3 | batch 36000/43315 batches | ms/batch 5.7985606922043695 | loss 105834.0858
epoch 3 | batch 37000/43315 batches | ms/batch 5.686839967160611 | loss 108807.0858
epoch 3 | batch 38000/43315 batches | ms/batch 5.5810439963089795 | loss 111778.0858
epoch 3 | batch 39000/43315 batches | ms/batch 5.480640435830141 | loss 123747.0858
epoch 3 | batch 40000/43315 batches | ms/batch 5.385261380672455 | loss 139286.0858
epoch 3 | batch 41000/43315 batches | ms/batch 5.294536131184276 | loss 154449.0858
epoch 3 | batch 42000/43315 batches | ms/batch 5.208146759441921 | loss 169805.0858
epoch 3 | batch 43000/43315 batches | ms/batch 5.126395768897478 | loss 185383.0858
Epoch [3/30], Loss: 190169.9320
------------------------------
epoch 4 | batch 1000/43315 batches | ms/batch 223.1305730342865 | loss 15458.0000
epoch 4 | batch 2000/43315 batches | ms/batch 112.40328752994537 | loss 30813.0000
epoch 4 | batch 3000/43315 batches | ms/batch 75.49207218488057 | loss 46167.0000
epoch 4 | batch 4000/43315 batches | ms/batch 57.036038875579834 | loss 61405.0000
epoch 4 | batch 5000/43315 batches | ms/batch 45.96893515586853 | loss 76767.0000
epoch 4 | batch 6000/43315 batches | ms/batch 38.587609807650246 | loss 92017.0000
epoch 4 | batch 7000/43315 batches | ms/batch 33.31396814755031 | loss 107170.0000
epoch 4 | batch 8000/43315 batches | ms/batch 29.358301371335983 | loss 122586.0000
epoch 4 | batch 9000/43315 batches | ms/batch 26.281418085098267 | loss 138123.0000
epoch 4 | batch 10000/43315 batches | ms/batch 23.822394824028017 | loss 153571.0000
epoch 4 | batch 11000/43315 batches | ms/batch 21.80977387861772 | loss 168925.0000
epoch 4 | batch 12000/43315 batches | ms/batch 20.131658017635345 | loss 184169.0000
epoch 4 | batch 13000/43315 batches | ms/batch 18.711471685996422 | loss 199662.0000
epoch 4 | batch 14000/43315 batches | ms/batch 17.49393994467599 | loss 214928.0000
epoch 4 | batch 15000/43315 batches | ms/batch 16.439714590708416 | loss 230242.0000
epoch 4 | batch 16000/43315 batches | ms/batch 15.5179593116045 | loss 245543.0000
epoch 4 | batch 17000/43315 batches | ms/batch 14.703703740063835 | loss 261125.0000
epoch 4 | batch 18000/43315 batches | ms/batch 13.979606416490343 | loss 276385.0000
epoch 4 | batch 19000/43315 batches | ms/batch 13.331526768834967 | loss 291640.0343
epoch 4 | batch 20000/43315 batches | ms/batch 12.748179304599763 | loss 307125.0343
epoch 4 | batch 21000/43315 batches | ms/batch 12.220975716908773 | loss 322383.0685
epoch 4 | batch 22000/43315 batches | ms/batch 11.741341319951145 | loss 337751.0685
epoch 4 | batch 23000/43315 batches | ms/batch 11.303303832593171 | loss 353148.0685
epoch 4 | batch 24000/43315 batches | ms/batch 10.901668071746826 | loss 368483.0685
epoch 4 | batch 25000/43315 batches | ms/batch 10.532105674743653 | loss 383800.0685
epoch 4 | batch 26000/43315 batches | ms/batch 10.190974024625925 | loss 398886.0685
epoch 4 | batch 27000/43315 batches | ms/batch 9.87522319511131 | loss 414271.0685
epoch 4 | batch 28000/43315 batches | ms/batch 9.581917302949089 | loss 429418.0685
epoch 4 | batch 29000/43315 batches | ms/batch 9.308826586295819 | loss 444736.0685
epoch 4 | batch 30000/43315 batches | ms/batch 9.05370105902354 | loss 459865.0685
epoch 4 | batch 31000/43315 batches | ms/batch 8.814782488730646 | loss 475337.0685
epoch 4 | batch 32000/43315 batches | ms/batch 8.59091229736805 | loss 490641.0685
epoch 4 | batch 33000/43315 batches | ms/batch 8.38091592355208 | loss 506122.0685
epoch 4 | batch 34000/43315 batches | ms/batch 8.183301883585314 | loss 521236.0685
epoch 4 | batch 35000/43315 batches | ms/batch 7.996988337380546 | loss 536736.0685
epoch 4 | batch 36000/43315 batches | ms/batch 7.821023649639553 | loss 551998.0685
epoch 4 | batch 37000/43315 batches | ms/batch 7.654547382045436 | loss 567346.0685
epoch 4 | batch 38000/43315 batches | ms/batch 7.496860761391489 | loss 582704.0685
epoch 4 | batch 39000/43315 batches | ms/batch 7.34723809437874 | loss 598178.0685
epoch 4 | batch 40000/43315 batches | ms/batch 7.205103451013565 | loss 613779.0685
epoch 4 | batch 41000/43315 batches | ms/batch 7.069939008573207 | loss 629048.0685
epoch 4 | batch 42000/43315 batches | ms/batch 6.9412025440306895 | loss 644440.0685
epoch 4 | batch 43000/43315 batches | ms/batch 6.818451526553132 | loss 659870.0685
Epoch [4/30], Loss: 664720.9916
------------------------------
epoch 5 | batch 1000/43315 batches | ms/batch 295.8641254901886 | loss 15315.0000
epoch 5 | batch 2000/43315 batches | ms/batch 148.76503539085388 | loss 30759.0000
epoch 5 | batch 3000/43315 batches | ms/batch 99.73111844062805 | loss 46135.0000
epoch 5 | batch 4000/43315 batches | ms/batch 75.21403974294662 | loss 61600.0000
epoch 5 | batch 5000/43315 batches | ms/batch 60.503702545166014 | loss 77113.0000
epoch 5 | batch 6000/43315 batches | ms/batch 50.696821649869285 | loss 92405.0000
epoch 5 | batch 7000/43315 batches | ms/batch 43.691766432353425 | loss 107854.0000
epoch 5 | batch 8000/43315 batches | ms/batch 38.43794655799866 | loss 123154.0000
epoch 5 | batch 9000/43315 batches | ms/batch 34.35483267572191 | loss 138525.0000
epoch 5 | batch 10000/43315 batches | ms/batch 31.08745632171631 | loss 153961.0000
epoch 5 | batch 11000/43315 batches | ms/batch 28.413424383510243 | loss 169246.0000
epoch 5 | batch 12000/43315 batches | ms/batch 26.184820393721264 | loss 184634.0000
epoch 5 | batch 13000/43315 batches | ms/batch 24.298828235039345 | loss 199857.0000
epoch 5 | batch 14000/43315 batches | ms/batch 22.682196940694535 | loss 215138.0000
epoch 5 | batch 15000/43315 batches | ms/batch 21.283175675074258 | loss 230461.0000
epoch 5 | batch 16000/43315 batches | ms/batch 20.058238238096237 | loss 245680.0000
epoch 5 | batch 17000/43315 batches | ms/batch 18.97674055660472 | loss 261219.0000
epoch 5 | batch 18000/43315 batches | ms/batch 18.015179210238987 | loss 276390.0000
epoch 5 | batch 19000/43315 batches | ms/batch 17.1547079713721 | loss 291528.0000
epoch 5 | batch 20000/43315 batches | ms/batch 16.380200064182283 | loss 306743.0340
epoch 5 | batch 21000/43315 batches | ms/batch 15.679477998188563 | loss 322122.0340
epoch 5 | batch 22000/43315 batches | ms/batch 15.043951890685342 | loss 337502.0340
epoch 5 | batch 23000/43315 batches | ms/batch 14.463031478550123 | loss 352653.0340
epoch 5 | batch 24000/43315 batches | ms/batch 13.930169433355331 | loss 367987.0340
epoch 5 | batch 25000/43315 batches | ms/batch 13.439794359207154 | loss 383223.0340
epoch 5 | batch 26000/43315 batches | ms/batch 12.987012890669016 | loss 398551.0340
epoch 5 | batch 27000/43315 batches | ms/batch 12.567746709894251 | loss 413890.0340
epoch 5 | batch 28000/43315 batches | ms/batch 12.179143701280866 | loss 429346.0340
epoch 5 | batch 29000/43315 batches | ms/batch 11.817449758792746 | loss 444965.0340
epoch 5 | batch 30000/43315 batches | ms/batch 11.47945458094279 | loss 460329.0340
epoch 5 | batch 31000/43315 batches | ms/batch 11.163049928603634 | loss 475462.0340
epoch 5 | batch 32000/43315 batches | ms/batch 10.86632888019085 | loss 490822.0340
epoch 5 | batch 33000/43315 batches | ms/batch 10.587547685160782 | loss 505995.0340
epoch 5 | batch 34000/43315 batches | ms/batch 10.325219077222487 | loss 521522.0340
epoch 5 | batch 35000/43315 batches | ms/batch 10.07810173034668 | loss 537008.0340
epoch 5 | batch 36000/43315 batches | ms/batch 9.844530555937025 | loss 552319.0340
epoch 5 | batch 37000/43315 batches | ms/batch 9.623472039763993 | loss 567767.0340
epoch 5 | batch 38000/43315 batches | ms/batch 9.41400957107544 | loss 583054.0340
epoch 5 | batch 39000/43315 batches | ms/batch 9.215264259240566 | loss 598538.0340
epoch 5 | batch 40000/43315 batches | ms/batch 9.026422786712647 | loss 613800.0340
epoch 5 | batch 41000/43315 batches | ms/batch 8.84689886977033 | loss 628944.0340
epoch 5 | batch 42000/43315 batches | ms/batch 8.675911284628368 | loss 644428.0340
epoch 5 | batch 43000/43315 batches | ms/batch 8.51287455891454 | loss 659889.0678
Epoch [5/30], Loss: 664718.2986
------------------------------
epoch 6 | batch 1000/43315 batches | ms/batch 368.70551657676697 | loss 15424.0000
epoch 6 | batch 2000/43315 batches | ms/batch 185.1862072944641 | loss 30759.0000
epoch 6 | batch 3000/43315 batches | ms/batch 124.0124048391978 | loss 46079.0000
epoch 6 | batch 4000/43315 batches | ms/batch 93.42529821395874 | loss 61434.0000
epoch 6 | batch 5000/43315 batches | ms/batch 75.0729218006134 | loss 76630.0000
epoch 6 | batch 6000/43315 batches | ms/batch 62.837945103645325 | loss 91830.0000
epoch 6 | batch 7000/43315 batches | ms/batch 54.098629644938875 | loss 107238.0000
epoch 6 | batch 8000/43315 batches | ms/batch 47.544097036123276 | loss 122755.0000
epoch 6 | batch 9000/43315 batches | ms/batch 42.446140395270454 | loss 138133.0000
epoch 6 | batch 10000/43315 batches | ms/batch 38.36799821853638 | loss 153494.0000
epoch 6 | batch 11000/43315 batches | ms/batch 35.0314952026714 | loss 169051.0000
epoch 6 | batch 12000/43315 batches | ms/batch 32.250974694887795 | loss 184198.0000
epoch 6 | batch 13000/43315 batches | ms/batch 29.898284618671124 | loss 199389.0000
epoch 6 | batch 14000/43315 batches | ms/batch 27.881649579320634 | loss 214791.0000
epoch 6 | batch 15000/43315 batches | ms/batch 26.13388024965922 | loss 230023.0000
epoch 6 | batch 16000/43315 batches | ms/batch 24.604613408446312 | loss 245308.0000
